::1 - - [19/Aug/2017:00:28:08 +0300] "GET / HTTP/1.1" 403 501 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.1.835 (beta) Yowser/2.5 Safari/537.36"
::1 - - [19/Aug/2017:00:28:09 +0300] "GET /favicon.ico HTTP/1.1" 404 500 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.1.835 (beta) Yowser/2.5 Safari/537.36"
127.0.0.1 - - [19/Aug/2017:00:33:40 +0300] "HEAD / HTTP/1.1" 403 140 "-" "Jakarta Commons-HttpClient/3.1"
127.0.0.1 - - [19/Aug/2017:00:33:40 +0300] "HEAD / HTTP/1.1" 403 140 "-" "Jakarta-Commons-VFS"
::1 - - [19/Aug/2017:00:40:48 +0300] "GET / HTTP/1.1" 200 346 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.1.835 (beta) Yowser/2.5 Safari/537.36"
192.168.0.100 - - [19/Aug/2017:01:08:37 +0300] "GET / HTTP/1.1" 200 622 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 4 rev: 2116 Mobile Safari/533.3"
192.168.0.100 - - [19/Aug/2017:01:08:37 +0300] "GET /core/argus.app.js HTTP/1.1" 200 456 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 4 rev: 2116 Mobile Safari/533.3"
192.168.0.100 - - [19/Aug/2017:01:08:37 +0300] "GET /core/argus.keydown.js HTTP/1.1" 200 1121 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 4 rev: 2116 Mobile Safari/533.3"
192.168.0.100 - - [19/Aug/2017:01:08:37 +0300] "GET /core/init.js HTTP/1.1" 200 359 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 4 rev: 2116 Mobile Safari/533.3"
::1 - - [19/Aug/2017:01:08:56 +0300] "GET / HTTP/1.1" 200 622 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.1.835 (beta) Yowser/2.5 Safari/537.36"
::1 - - [19/Aug/2017:01:08:56 +0300] "GET /core/argus.app.js HTTP/1.1" 200 456 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.1.835 (beta) Yowser/2.5 Safari/537.36"
::1 - - [19/Aug/2017:01:08:56 +0300] "GET /core/argus.keydown.js HTTP/1.1" 200 1121 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.1.835 (beta) Yowser/2.5 Safari/537.36"
::1 - - [19/Aug/2017:01:08:56 +0300] "GET /core/init.js HTTP/1.1" 200 359 "http://localhost/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.1.835 (beta) Yowser/2.5 Safari/537.36"
